time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1862,4.405746704401881,-2.9009293564085565,2.9992442604310963,1.4065024439707852,1.1396477144365,-1.822627418656792,-1.0783019377517646,0.091789476807894
1863,6.290170541978138,0.29378446754290855,3.0101565289808736,3.280014012997264,1.201678602085658,-1.786610374498866,2.0803948420417746,0.1225005675736256
1864,1.6493169881139997,-3.4950563199675577,3.020994015266645,-1.371677027152645,1.246379091108171,-1.7512157440190774,-1.7438405759484803,0.14093938082990295
1865,2.746658874012473,-1.5753476387085692,3.031756550937211,-0.285097676924738,1.2501837494134893,-1.71643688906996,0.14108925036139075,0.15357457023685941
1866,6.75202356466642,-0.7732793824311924,3.0424439676413617,3.709579597025058,1.205674999053668,-1.6822671715040824,0.90898778907289,0.16877404819792832
1867,3.569764936773574,-1.9906516311462321,3.05305609702789,0.516708839745684,1.1085262726822436,-1.6486999531740019,-0.34195167797223025,0.18138267396924454
1868,6.96293043263613,-0.35499437823606,3.063592770745586,3.8993376618905438,0.978674537344554,-1.6157285959322862,1.2607342176962262,0.18691419218183167
1869,5.736363173374511,-0.23628218850236848,3.07405382044325,2.662309352931261,0.855086120713223,-1.583346461631471,1.3470642731291025,0.1842049098180482
1870,1.1098201404660188,-2.5476731740954808,3.084439077769671,-1.974618937303652,0.7519799901504155,-1.5515469121241237,-0.9961262619713571,0.1685474130519852
1871,2.7934601514657564,-1.8356264416498236,3.0947483743736433,-0.3012882229078868,0.6708176094500387,-1.520323309262802,-0.3153031323870217,0.1414592136437329
1872,3.8790760748622053,-1.5829951287867734,3.104981541903956,0.7740945329582494,0.5940950034287756,-1.489669014900073,-0.09332611388670031,0.11163559994102745
1873,3.460697169870288,-0.39879764171850224,3.1151384120094097,0.34555875786087853,0.501723181253135,-1.4595773908884733,1.060779749169971,0.08310024784284406
1874,4.374664221094726,-0.3694969375456167,3.1252188163387937,1.249445404755932,0.3931364489965846,-1.43004179908057,1.0605448615349533,0.05980766075671602
1875,0.4945071788204942,-3.045326044069292,3.1352225865409022,-2.640715407720408,0.30075446915877363,-1.4010556013289206,-1.6442704427403714,0.051082989060371516
1876,2.192873099630913,-2.6453673442227723,3.1451495542645245,-0.9522764546336115,0.2487034966064348,-1.3726121594860914,-1.272755184736681,0.05719181664830826
1877,5.423854740781113,-1.3112828250543556,3.1549995511584603,2.268855189622653,0.22883379695174166,-1.3447048354046205,0.03342201035026493,0.07092051681088264
1878,4.30044592957025,-0.8604456755921891,3.1647724088715,1.13567352069875,0.23049361423026546,-1.3173269909370746,0.4568813153448855,0.08866587466871811
1879,2.833521782236066,-1.6839092947364807,3.1744679590524365,-0.3409461768163706,0.2253225653242726,-1.290471987936011,-0.39343730680046973,0.10311892742402298
1880,3.64369395569828,-0.03802603946851689,3.1840860333500633,0.45960792234821657,0.19100606827622638,-1.2641331882539864,1.2261071487854696,0.10649089320083562
1881,1.3246769515554475,-2.360196464201509,3.193626463413171,-1.8689495118577235,0.13396601758907997,-1.2383039537435665,-1.1218925104579425,0.10633557986853763
1882,4.276374370360782,0.06042910623407641,3.2030890808905585,1.0732852894702232,0.061071960952976304,-1.2129776462572912,1.2734067524913677,0.1122589777338336
