t,u,v,speed,direction,u2,v2,pres,ibe
1928,1.4240065,1.1816586,3.0550156,2.0481572,5.455011,3.342734,-70.94336,0.7021253
1929,1.104542,0.78885746,2.7704127,3.3363125,3.5209002,4.1121645,161.05469,-1.5939077
1930,1.4766735,1.2956508,3.050471,2.088997,4.377828,4.460523,-213.58269,2.1137948
1931,1.6678312,0.67218554,2.6666021,2.5925515,5.0175323,2.8065636,-29.81836,0.29512042
1932,1.6500204,0.8079397,2.8819766,1.8726995,5.26373,1.9272863,48.928387,-0.4842187
1933,0.26325107,0.32219312,1.9157083,3.0439587,0.12169266,1.0449464,105.80404,-1.0471041
1934,2.0051935,1.1019342,2.9982743,2.4119682,6.08367,4.158314,-18.703775,0.18512172
1935,1.9740857,0.9452632,3.4270658,2.3781521,7.045046,3.6564436,-166.78386,1.6506373
1936,1.4436198,0.7828116,2.9698346,2.8927672,5.0937853,2.5715232,-98.13346,0.97121966
1937,0.9790133,0.45957386,1.9607718,2.7621622,2.8366797,1.6550653,-147.44402,1.4592352
1938,2.2850199,1.0919474,3.3794503,1.3767514,8.483102,2.7131858,156.68945,-1.5507059
1939,0.9090376,0.5620066,2.564512,2.9068484,2.5274656,2.469368,-39.478516,0.39072484
1940,1.154745,0.5052579,2.9239287,2.5335906,4.669336,1.1109577,-27.634115,0.27350336
1941,0.729576,0.49412274,2.5444221,2.7634742,3.248215,1.5487204,20.886068,-0.2066901
1942,0.8831185,0.45837066,2.884556,2.6129527,2.8805509,1.1551867,70.561195,-0.6983137
1943,2.3480737,0.6170851,2.8545923,2.8767185,8.438412,1.8465967,99.56641,-0.98537177
1944,2.3776846,0.051219728,2.8437545,2.522985,8.894802,-0.35959306,-15.999349,0.15835676
1945,2.0125475,0.26720884,2.6872134,3.021695,6.1124935,1.0520995,103.16406,-1.020977
1946,0.9860105,0.9024725,3.32263,2.346434,4.347371,3.0560894,62.55794,-0.6191073
1947,-0.0058615007,0.42272705,3.022896,2.5574932,-1.2697031,0.9725029,21.522135,-0.21298505
1948,1.5997655,1.4692652,2.8145063,1.5237224,4.412628,4.4849634,175.97527,-1.7415732
1949,2.0668921,0.50118285,2.8222477,2.7921445,7.1797557,1.5211172,275.10938,-2.7226813
1950,1.976661,1.4691434,2.8717508,1.0852691,6.583271,3.475755,-105.06055,1.0397756
1951,1.5521948,1.9150048,3.3385723,1.6798123,4.4606447,6.415709,-239.73567,2.372625
1952,1.8413293,0.20285887,2.409239,2.428988,5.3715997,0.07252569,-101.442055,1.0039642
1953,1.5575039,0.5614027,2.2873323,2.2740958,4.6253324,1.581049,280.306,-2.774111
1954,2.3078415,1.1398137,3.4757948,1.7715727,10.7223835,2.71144,-111.25846,1.1011149
1955,0.9753763,-0.25951266,2.2985656,3.1217308,3.9567342,-1.1480817,48.38867,-0.4788772
1956,1.1715083,0.16579825,2.5449097,3.173483,3.0297625,0.5486253,172.01628,-1.702392
1957,1.538446,0.7473841,2.7824402,2.2909105,4.537309,1.7639531,100.67252,-0.9963188
1958,1.4309709,0.88048786,2.4321556,1.447407,3.8537135,1.4854265,-69.98502,0.6926408
1959,0.4731057,0.74821305,2.6467283,2.7275634,1.1063123,3.7240884,128.37695,-1.2705034
1960,1.1124158,1.1714611,2.7122123,2.1785989,3.0025516,3.9205809,-210.09766,2.0793042
1961,1.8721334,0.92355806,2.7658262,2.8154237,5.90374,2.5152686,62.440105,-0.6179411
1962,1.883911,0.16075934,2.3790996,3.6732972,5.739389,0.9365387,105.80859,-1.0471493
1963,0.67430604,1.2091997,2.7902026,1.3035231,1.3966079,3.441639,-11.73112,0.116114885
1964,1.0883753,0.36008126,1.9637105,2.534024,1.2778589,0.4348305,206.30534,-2.0417433
1965,1.7766631,0.4488396,2.6760156,2.0800045,5.8734455,0.14813915,-166.95833,1.652364
1966,1.9294958,1.016508,2.8820252,1.7209004,7.293715,2.3133254,-172.26823,1.7049149
1967,3.0311668,1.2023544,3.7649798,1.8582101,12.448149,3.6990287,23.425781,-0.23182498
