time,TrNc,TrNcW,TrNcPd,Equilibrium tide
1958,-1.404664459135185,-1.3257548070921827,-1.3195304703052386,-0.4342974936589486
1959,-1.2185597673215773,-1.074184862228021,-1.1437709437831498,-0.5187421582344708
1960,-0.8949097657931986,-0.701365969607421,-0.8389079190787738,-0.5446149418306764
1961,-0.4702465483325768,-0.24938017676567265,-0.43935290416903555,-0.5089945133443479
1962,0.007495893362466366,0.23075448047306268,0.00979420535814024,-0.4159028236900489
1963,0.48439223378141394,0.6848426545306716,0.4578357909335803,-0.27585098186488227
1964,0.9066126513563517,1.0616290026545805,0.8541990203452695,-0.10465243136886337
1965,1.2264988861802544,1.318583649545424,1.1541442717781702,0.07836256715828056
1966,1.4079436807986518,1.4267027601537894,1.3238151324307263,0.2525295418956326
1967,1.4304663980354322,1.3737823565103402,1.3440599515559877,0.39818306339445514
1968,1.2915247792332625,1.165795845504562,1.2125935889487887,0.4988771949017298
1969,1.0068019024839274,0.8262197687390543,0.944255350851468,0.5432424253948117
1970,0.6084359503498259,0.39338388065262564,0.5693339986832087,0.5262694164985315
1971,0.14139260259120356,-0.08385533433839554,0.13014889574943977,0.449874613678432
1972,-0.3416104788106288,-0.5516293525929757,-0.32372680394860553,0.3226838577827788
1973,-0.7860541720151205,-0.957138037472134,-0.7410617407672474,0.15905842964778924
1974,-1.1417717580217195,-1.2546094710531734,-1.07474910494721,-0.022526501608741898
1975,-1.368611504555688,-1.4104664734878467,-1.287123832299712,-0.20156793500190817
1976,-1.4409688052371403,-1.4071166375377193,-1.3542140599480597,-0.3578500593418788
1977,-1.3506763074263033,-1.2449380769692315,-1.2684469577462107,-0.47372684790665626
1978,-1.1079258046727156,-0.9422367468456491,-1.0395035138180595,-0.5361144952635307
1979,-0.7401178348736953,-0.5331801532010972,-0.693225790035929,-0.5379687274942179
1980,-0.28876883610497706,-0.06394068525486085,-0.2686999913133854,-0.47908018072149994
1981,0.1951750341367553,0.4125161072679825,0.18615540183421564,-0.36609804066869756
1982,0.657088462180369,0.8424100169039066,0.6199984465627933,-0.21177927407721417
1983,1.0448328273151837,1.1772166359619047,0.9838589753392788,-0.033548222281544963
1984,1.3146413646907262,1.3791445640135043,1.2366661187113404,0.14847080481427935
1985,1.4360593524031235,1.4254011238763769,1.349884192368913,0.31372579187510485
1986,1.3953816976266493,1.3107650920838587,1.3107336713152369,0.4435575740736293
1987,1.1971999031950125,1.0481760460946994,1.1236336826938726,0.5233066687101166
1988,0.8638838003023319,0.6672738054949945,0.8097031954488892,0.5439684972957942
1989,0.43305654690503115,0.21105282821722704,0.40437721018917633,0.5032101047285468
1990,-0.0466520978408157,-0.2689908021644589,-0.0465929774384668,0.4056335764191347
1991,-0.5210948726487021,-0.7186720127565552,-0.4923039683618051,0.26225641058278826
1992,-0.936718902926079,-1.0872328981673818,-0.8824459969592557,0.08926751756583756
1993,-1.246610498017413,-1.333072034739232,-1.1729816613772057,-0.09380069198860368
1994,-1.4157905485118234,-1.4284402540795609,-1.331116658851673,-0.26627773813031225
1995,-1.4251628040103896,-1.3625728390051077,-1.3390014527512397,-0.4086890035413931
1996,-1.27366936828197,-1.142904594315349,-1.195746044531698,-0.5049546390031884
1997,-0.9784101096266818,-0.794230640906788,-0.9175204325963123,-0.5442051609906708
1998,-0.5727125079654816,-0.3559076588513981,-0.5357294187369142,-0.522008739806306
1999,-0.10236980526111927,0.12258851000973636,-0.09346778144190981,-0.44087160348484916
2000,0.37952792079761055,0.5872474629796783,0.3593440605222093,-0.309955056185188
2001,0.8185863156955268,0.9856206773745517,0.7715948307816948,-0.1440410629065725
2002,1.1652465276400668,1.2727416537042096,1.0967515964463561,0.038136802237424806
2003,1.380379178248325,1.4162015231762035,1.2981121872668722,0.216008589292098
2004,1.4397011032051745,1.3998072087603128,1.3529479644259326,0.3694905534228221
2005,1.3365163219277298,1.225409223754581,1.2550693226574983,0.4812528377964181
2006,1.0824718484396505,0.9126927945258516,1.015524343850976,0.5386762112314706
2007,0.7062430310696018,0.49695588450984796,0.661351741399129,0.5352769227143459
2008,0.25029681366107703,0.02512492569742919,0.23252885708126336,0.4714387905240836
2009,-0.23390173381682566,-0.4495420168552125,-0.22254079372485125,0.35436986478970356
2010,-0.6916985509213609,-0.8734667655521828,-0.6524910837758212,0.19728855676936688
2011,-1.0714196806717535,-1.198798683585207,-1.0087912414238989,0.017931130098859785
2012,-1.3302039833870494,-1.3888158303273515,-1.2512237764405616,-0.16345092480226892
2013,-1.4388411010521187,-1.422069961711595,-1.3524240416348896,-0.3263775139936833
2014,-1.3850685854912719,-1.2948075073976053,-1.3009690258484183,-0.45245237521098175
2015,-1.1749560259895837,-1.0213932561820402,-1.1026667298641413,-0.5274402248002663
2016,-0.8322199425296035,-0.6326889260309594,-0.7799005865261041,-0.5428740829116848
2017,-0.3955467762807841,-0.17256963814226622,-0.3691029238509044,-0.4970112916833232
2018,0.08577385438400276,0.30702850089692624,0.08335734523816873,-0.39503028110504285
2019,0.5574127347702544,0.7519707031658174,0.5264086282641403,-0.24844586546160294
2020,0.9661334807333966,1.1120339802994088,0.9100413749549866,-0.07380909002702811
2021,1.2658016119648268,1.3465760787961658,1.1909529206606977,0.10916156991573574
