time,NearestPointAverage2,PressureDifference,NearestPointAverage2_trend,NearestPointAverage2_dt,NearestPointAverage2_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1867,2.4644912470246902,-3.074270134700561,3.3102695601366516,-0.8457783131119614,1.2128560558197865,-2.527120659032259,-0.5471494756683022,0.28624931822193683
1868,7.439159493502174,-0.4694950138682842,3.3280954007304633,4.111064092771711,1.1339434578773986,-2.4745809980987135,2.0050859842304294,0.2953518971299174
1869,7.396142026144631,-0.28044650886659345,3.345831078002605,4.050310948142026,1.0345119381416397,-2.422990403377932,2.1425438945113386,0.2913835818548792
1870,1.9090088184698835,-3.961323858370561,3.3634774087170247,-1.4544685902471413,0.9318717307435419,-2.3723380393636893,-1.5889858190068717,0.2667078760795128
1871,3.0152140340489666,-2.8273933785928245,3.381035209637665,-0.3658211755886982,0.8349443035427501,-2.322613070549777,-0.5047803080430473,0.22371002749662156
1872,5.251259698240116,-2.425079411337114,3.398505297528484,1.8527544007116314,0.7337240377936391,-2.2738046614299368,-0.15127474990717715,0.17627376385036572
1873,4.9687733230309385,-0.5392514684845084,3.415888489153426,1.5528848338775125,0.615768798879152,-2.225901976497961,1.6866505080134526,0.13086416669227618
1874,5.169486152587103,-0.492590259287651,3.4331856012764375,1.7363005513106655,0.4787100566243598,-2.178894180247624,1.686303920959973,0.09385596474727143
1875,0.13027437503151654,-4.7538332989714105,3.4503974506614608,-3.3201230756299442,0.3540305141010938,-2.132770437172716,-2.6210628617986944,0.08006138410665149
1876,1.3135106304661117,-4.116901283497473,3.4675248540724555,-2.1540142236063438,0.26791634200024456,-2.0875199117669814,-2.0293813717304916,0.08989396138168926
1877,5.2073161897313245,-1.992379071747636,3.4845686282733643,1.7227475614579602,0.2127918733645067,-2.043131768524211,0.050752696776575235,0.11182540654536416
1878,4.458987973416351,-1.2744234069061056,3.5015295900281345,0.9574583833882162,0.18701025007629046,-1.9995951719381795,0.7251717650320739,0.14008391525820998
1879,1.8651304707281777,-2.585784661986452,3.518408556100709,-1.6532780853725313,0.16239505630952072,-1.9568992865026755,-0.6288853754837767,0.16303471490329294
1880,4.262499638618473,0.03527531099303042,3.5352063432550462,0.7272932953634266,0.11281632948232034,-1.915033276711446,1.9503085877044763,0.1682748635896
1881,1.8354127023979308,-3.662768235669985,3.5519237682550897,-1.716511065857159,0.04871162280381437,-1.8739863070582805,-1.7887819286117046,0.1678491853390005
1882,4.735769677165276,0.19206458551111671,3.568561647864786,1.16720802930049,-0.01996372292948486,-1.8337475420369536,2.02581212754807,0.1770966847653491
1883,5.2709438900351,-0.8039053540889379,3.5851207988480787,1.6858230911870211,-0.09887845738572926,-1.7943061461412535,0.9904007920523156,0.19812386916682237
1884,4.955918218321785,-1.3273541840270207,3.6016020379689264,1.3543161803528587,-0.20464910010917473,-1.755651283864929,0.4282970998379083,0.20737393972026608
1885,2.8258199284116197,-1.6206017060893305,3.6180061819912708,-0.7921862535796511,-0.3398081068000943,-1.7177721197017681,0.09717041361243761,0.18578267610599516
1886,3.819353134121723,-2.1201140067335427,3.6343340476790553,0.18501908644266774,-0.4893070715674239,-1.680657818145558,-0.43945618858798463,0.13716478898924184
1887,2.664338702158311,-1.1845863074218377,3.650586451796239,-0.9862477496379283,-0.6392667809536896,-1.6442975436900493,0.45971123626821164,0.06662119724912745
1888,2.303340490646137,-2.114705753252804,3.6667642111067638,-1.3634237204606268,-0.7914971964557711,-1.6086804608290293,-0.5060252924237747,-0.019449795698532828
1889,2.3840162185689593,-2.1169091157819726,3.6828681423745775,-1.2988519238056182,-0.9415750460417233,-1.5737957340562727,-0.5431133817256999,-0.11097825258248391
1890,1.465905071525043,-1.195502967225498,3.698899062363623,-2.23299399083858,-1.0613452116353475,-1.539632527865566,0.34412956064006806,-0.18776416772731233
1891,2.890589106504535,-1.1767743857277118,3.7148577878378592,-0.8242686813333244,-1.1292978926389816,-1.5061800067506614,0.3294056210229497,-0.2410804292363691
1892,0.7383563481521686,-2.635800991398372,3.730745135561228,-2.99238878740906,-1.1352095928824277,-1.4734273352053455,-1.1623736561930265,-0.26776305133074835
1893,3.03309653987847,-1.7003734449289944,3.746561922297678,-0.7134653824192081,-1.09956126130622,-1.441363677723393,-0.25900976720560154,-0.28648233138539253
1894,1.7977658118533073,-1.3043891373026215,3.762308964811152,-1.9645431529578445,-1.0425179371949824,-1.4099781987985893,0.1055890614959678,-0.3120411606160841
1895,2.066043198723224,-3.523095081889784,3.777987079865608,-1.7119438811423837,-0.9640566983383596,-1.379260062924689,-2.143835018965095,-0.3397781412070956
1896,3.3334320290367034,-1.4996070573858966,3.793597084224989,-0.46016505518828543,-0.8681258514707637,-1.3491984345954766,-0.15040862279042,-0.3621567612850289
1897,2.9552700077753027,-1.7178601311832584,3.809139794653243,-0.8538697868779401,-0.7611606321536847,-1.3197824783047278,-0.3980776528785306,-0.3636654252301873
1898,6.266567040407597,-0.3886716701851996,3.824616027914312,2.4419510124932846,-0.6428196542696063,-1.291001358546227,0.9023296883610274,-0.335457985838113
1899,4.045234071322154,-1.2655098039473955,3.8400266007721555,0.20520747054999866,-0.5156917114198184,-1.26284423981373,-0.0026655641336654767,-0.28260806842705566
1900,3.377554257031916,-1.6161449046099754,3.855372329990715,-0.4778180729587991,-0.3970126381632674,-1.2353002866010212,-0.3808446180089542,-0.21879187526305052
1901,2.000829797999168,-2.728883042970967,3.87065403233394,-1.869824234334772,-0.30321309953506714,-1.2083586634018761,-1.5205243795690908,-0.16365276072564275
1902,2.475394305962095,-2.8954973113121,3.885872524565772,-1.4104782186036773,-0.24708274943812356,-1.1820085347100777,-1.7134887766020221,-0.1249082545728485
1903,6.542719297043565,0.04178524573835393,3.90102862345017,2.641690673593395,-0.22096859828295087,-1.156239065019384,1.1980243107577377,-0.09590601790214742
1904,2.5552053321098835,-1.5084205075025705,3.9161231457510763,-1.3609178136411928,-0.20996205317368927,-1.1310394188235784,-0.3773810886789921,-0.07470996322244562
1905,3.7031030827432074,-0.10610044110499296,3.9311569082324342,-0.2280538254892268,-0.2004591183368283,-1.1063987606164443,1.0002983195114512,-0.05120559820204818
1906,4.562970618181934,0.6628330204338121,3.9461307276582014,0.6168398905237327,-0.17358052951247602,-1.0823062548917401,1.7451392753255521,-0.00891259073194554
1907,4.451660859258562,-1.8465965945914218,3.9610454207923214,0.49061543846624023,-0.10647125566121082,-1.0587510661432493,-0.7878455284481725,0.052084523134956096
1908,2.981682961533865,-1.2829363984962334,3.9759018043987413,-0.9942188428648762,0.010913808584994024,-1.0357223588647466,-0.2472140396314868,0.12727149608871788
