time,one,trend,total,rate_slr
1929,-5.647654794169808,2.392054753541321,-3.2556000406284875,1.6699201793816765
1930,-5.647654794169808,2.5582981780638603,-3.089356616105948,1.656186309473866
1931,-5.647654794169808,2.723292015436094,-2.9243627787337143,1.6448556357397726
1932,-5.647654794169808,2.887269305211815,-2.7603854889579935,1.6361936897803808
1933,-5.647654794169808,3.05053075339217,-2.597124040777638,1.63091606834455
1934,-5.647654794169808,3.213452518880725,-2.4342022752890835,1.6281685490693443
1935,-5.647654794169808,3.376164463206039,-2.2714903309637693,1.6249134683421018
1936,-5.647654794169808,3.538435212549145,-2.109219581620663,1.619942336766178
1937,-5.647654794169808,3.7001529305592746,-1.9475018636105337,1.6151737110508613
1938,-5.647654794169808,3.8614699547593174,-1.7861848394104909,1.6125058661928882
1939,-5.647654794169808,4.022654103797852,-1.625000690371956,1.6134910647307388
1940,-5.647654794169808,4.184168167705465,-1.4634866264643431,1.6187222884687769
1941,-5.647654794169808,4.346398561491608,-1.3012562326782007,1.6264015472713034
1942,-5.647654794169808,4.509448477159726,-1.1382063170100825,1.6343529627901399
1943,-5.647654794169808,4.673269154049636,-0.9743856401201727,1.640018522966784
1944,-5.647654794169808,4.837452181753083,-0.8102026124167256,1.6416565658739124
1945,-5.647654794169808,5.001600467224418,-0.6460543269453902,1.6412879705794037
1946,-5.647654794169808,5.165709775868963,-0.4819450183008449,1.6412027763718706
1947,-5.647654794169808,5.329841022498792,-0.3178137716710161,1.64053820130591
1948,-5.647654794169808,5.493817416130145,-0.1538373780396629,1.637689999533114
1949,-5.647654794169808,5.657379022405415,0.009724228235606702,1.6322093080255762
1950,-5.647654794169808,5.820259277735261,0.17260448356545233,1.6242045996157106
1951,-5.647654794169808,5.982219942328557,0.3345651481587488,1.6152464646825138
1952,-5.647654794169808,6.143308570671763,0.4956537765019551,1.607563975580537
1953,-5.647654794169808,6.303732737444665,0.6560779432748562,1.602352697116638
1954,-5.647654794169808,6.463779110095091,0.8161243159252827,1.6002842432372955
1955,-5.647654794169808,6.623789586092124,0.9761347919223153,1.6019451838427745
1956,-5.647654794169808,6.784168146863646,1.1365133526938376,1.607867440221642
1957,-5.647654794169808,6.945363074136452,1.2977082799666437,1.6176397680826593
1958,-5.647654794169808,7.107696100480178,1.4600413063103694,1.629959029961996
1959,-5.647654794169808,7.271354880128851,1.623700085959043,1.6430856322143228
1960,-5.647654794169808,7.436313226923042,1.788658432753234,1.6546912410860015
1961,-5.647654794169808,7.6022931283460515,1.9546383341762432,1.6644480940013562
1962,-5.647654794169808,7.7692028457233135,2.1215480515535052,1.6748007389912623
1963,-5.647654794169808,7.937253276144304,2.2895984819744957,1.6864797157127853
1964,-5.647654794169808,8.10649878886587,2.4588439946960623,1.6970116822775339
1965,-5.647654794169808,8.27665561259981,2.6290008184300024,1.7045597992084893
1966,-5.647654794169808,8.447410748707568,2.79975595453776,1.7090674107142156
1967,-5.647654794169808,8.618469094742654,2.9708143005728456,1.7118913854996531
1968,-5.647654794169808,8.789789025807499,3.142134231637691,1.7179273157912522
1969,-5.647654794169808,8.962054557900904,3.314399763731096,1.7315428347182316
1970,-5.647654794169808,9.136097592751145,3.488442798581337,1.753796376687875
1971,-5.647654794169808,9.31281383323848,3.665159039068671,1.784659547811236
1972,-5.647654794169808,9.493029502313393,3.8453747081435843,1.8218508870355166
1973,-5.647654794169808,9.677184010645583,4.029529216475774,1.8627663334879774
1974,-5.647654794169808,9.865582769010988,4.21792797484118,1.9060720956292254
1975,-5.647654794169808,10.058398429771428,4.410743635601619,1.9506270731442577
1976,-5.647654794169808,10.25570818363984,4.608053389470031,1.9941839019360597
1977,-5.647654794169808,10.45723521015864,4.809580415988831,2.034023611564537
1978,-5.647654794169808,10.662512905952747,5.014858111782939,2.0677543653134656
1979,-5.647654794169808,10.870786083221333,5.2231312890515245,2.093149780868311
1980,-5.647654794169808,11.08114286212641,5.433488067956601,2.10971777282265
1981,-5.647654794169808,11.292729637785863,5.6450748436160545,2.1180856035688223
1982,-5.647654794169808,11.504759982840174,5.857105188670365,2.120829118620735
1983,-5.647654794169808,11.71689546151001,6.0692406673402015,2.122134507334099
1984,-5.647654794169808,11.929186884306993,6.281532090137185,2.1251763158316894
