time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1907,-3.159099396012743,-2.2740028159197214,-2.5650683645107755,-3.1856718761188603,-2.306431114031887,-2.5962550257269847
1908,-2.9879198483441503,-1.8638091087766053,-1.9398293594478027,-3.0186432568399377,-1.9002322764123827,-1.9739915137505726
1909,1.0679553272125961,2.2992841087913707,2.369868760895992,1.0334039927556382,2.2592013171763727,2.3330058350439318
1910,1.6624773517674276,2.8679335337961858,3.1128856053285823,1.6244139075452682,2.8245187122433046,3.0735901758319026
1911,-1.2690136445524667,-0.2232960324278963,0.15588520496135772,-1.3102805685763872,-0.26972294138037345,0.11441908609213212
1912,3.4707069295260595,4.228591057929879,4.6293172919133845,3.42653796943129,4.179464352613043,4.585935844311088
1913,2.2689523202763735,2.6671067018422496,3.174755849011429,2.222175581609137,2.6155848396932373,3.129707979682937
1914,3.5983953495433325,3.5487386685485425,3.8926565137163753,3.549297903569483,3.4951186375964878,3.846184676035966
1915,-2.790059772671677,-3.2031529644076064,-2.874806953547756,-2.8411980409188167,-3.2585818276366223,-2.9224667598384038
1916,0.4116651322108855,-0.3383171349358265,-0.1310832357420888,0.35875874049125134,-0.39527314541877345,-0.17970146453389446
1917,-0.41462633030930185,-1.4478632979878343,-1.3175640895695295,-0.4690353329331644,-1.5060724222047333,-1.3669176483860106
1918,-0.13160752304507994,-1.3184317567336041,-1.3654842294557659,-0.1872608102374345,-1.3776276126675282,-1.4153564794530384
1919,-1.1126908675334626,-2.285876570889947,-2.3733776786830276,-1.1693372991911013,-2.34580042802702,-2.4235584346498067
1920,-0.6085847717210777,-1.692005408430182,-2.0481848333680333,-0.6659803939733221,-1.75240618775958,-2.0984703637256317
1921,-0.3262495200744553,-1.1091636079463232,-1.4633630776259539,-0.3841575652831559,-1.1697978819602726,-1.5135561044282833
1922,0.8821870135544634,0.40739335850838554,-0.057307546244392604,0.8239961267949268,0.34676136581460615,-0.10721724517796308
1923,-1.0912037635958054,-1.1523933788930414,-1.6810421056473617,-1.1494550967330868,-1.2127949657649806,-1.7304841060312817
1924,-0.3716949242462322,-0.0718947701513235,-0.596761327201448,-0.42979149482069623,-0.1318454782028036,-0.645557711987425
1925,1.31445368539548,2.0315324587292727,1.6678420858023573,1.2567199000918663,1.9722454509938192,1.6198627800300183
1926,1.2598451996892837,2.2568851138318324,2.052540241872855,1.2026750361320242,2.1984669764049216,2.0055430248972503
1927,-0.42737861709534375,0.7605842428904528,0.7064984393496037,-0.4837915086632746,0.7032324942615487,0.66064186732123
1928,0.431217726844773,1.6759714815767137,1.8079410104935887,0.3757485712766167,1.6198759887322298,1.7633771859303458
1929,-3.437472411541963,-2.2940615680724994,-2.010138030793944,-3.491818553332428,-2.3487185896492013,-2.0532634590067556
1930,0.7735636657042309,1.705801232799455,2.1085404110317416,0.7205126292368438,1.6527572464708453,2.066992574422063
1931,0.9021896469407364,1.538454607773994,2.076942136119227,0.850598621109286,1.4871905691707357,2.037104632732786
1932,-0.3990847336435692,-0.14551994235928367,0.434494146848893,-0.4490580297587542,-0.1948447722629836,0.3964932646731942
1933,-0.6703524824845806,-0.8492265518187097,-0.24894108137282167,-0.7185575160356996,-0.8964605635516946,-0.2849855079828711
1934,-4.017019773072479,-4.575108863781869,-4.1800575321125235,-4.063313197444262,-4.6201080993760355,-4.214032122434616
1935,0.3294718405270499,-0.5470772850621435,-0.2791875838269352,0.2852261857173458,-0.5897054380524362,-0.3109854107713598
1936,3.691692909796277,2.5833449692052364,2.71443732783118,3.6496239986988646,2.5432165537808182,2.6849167377215344
1937,4.23980945829769,3.0243317261812606,3.0075680388189565,4.200039078830251,2.9868240517816673,2.980418705368602
1938,0.3438690517773665,-0.8042186266634562,-1.0550128541681274,0.3065118056250574,-0.8389922080823251,-1.0797033647672754
1939,2.196348470747685,1.180033279879079,0.8148210783998784,2.16151177336313,1.1480994918937812,0.7926705032112521
1940,0.8026176297280596,0.09365630412149994,-0.35209050652995577,0.7704017103313555,0.06466035851957058,-0.3716264873813422
1941,-1.7688431042475008,-2.1234778094657845,-2.616251750810755,-1.7983452026687876,-2.1494455152376015,-2.633104932030783
1942,-0.8774771617451966,-0.8269439670147323,-1.315012303125045,-0.9041795824360275,-0.8498006870127429,-1.3291209330521936
