lag,AMV_r,North_r,South_r,AMV_stderr,North_stderr,South_stderr
-22,0.5271757881602391,0.5213426993863352,0.6196912250304482,0.08124098714255115,0.08192910231327959,0.0693034779280066
-21,0.558743256170963,0.546637962627792,0.6377869217051111,0.0773842179175915,0.07888969400220534,0.06674334680913574
-20,0.584398580900718,0.5652657639282175,0.6489019725491295,0.07408459668235975,0.07655937574958735,0.06513428969262983
-19,0.6031228083920911,0.5766304136325061,0.651306064353453,0.07158291640850437,0.07509932104698519,0.06478260752427589
-18,0.6140002912171922,0.5805191965432897,0.643459521327507,0.07009338602804355,0.07459304233412255,0.06592563313775343
-17,0.6162048063011084,0.5767615222931097,0.6240846643159467,0.06978826154871103,0.07508230750466487,0.06868867883630755
-16,0.6090928143427274,0.5648161468818816,0.5926143087484768,0.07076869766604724,0.07661654192609064,0.07299663470486034
-15,0.5924138941865543,0.5440400660280951,0.5494147972023287,0.07302335519464782,0.07920848414213402,0.07854726706416681
-14,0.5663911145062128,0.5139341502005559,0.4958841121088619,0.07641609459905833,0.08279203342177571,0.08484276017735427
-13,0.5316754791482581,0.4746056606766532,0.4337083676862203,0.08070493861779358,0.08716612514059602,0.09134555497765129
-12,0.48926236663006656,0.42670945217358863,0.3646170911485837,0.08557669880822312,0.09202308196952601,0.09755123888302762
-11,0.4403869794094251,0.3711909584754563,0.2905400351507352,0.09068875752721085,0.0970070221086004,0.10301152798715837
-10,0.38622652871910024,0.30920764574208515,0.21321637196613993,0.09572574907408038,0.10175189575654907,0.1073940030908872
-9,0.32777906207209434,0.24185230615662412,0.13439993576757173,0.10042094542039837,0.10592786541353316,0.11047650525653521
-8,0.2658963408607513,0.17026975609461717,0.055565368816068314,0.10455432141610714,0.10924695889502643,0.11216141805428934
-7,0.20134260531181125,0.09560063776395283,-0.02221724558872226,0.10794781372210674,0.1114805180373614,0.1124532550785856
-6,0.13478672098626668,0.01875973084870344,-0.09830999605279805,0.11046479113159445,0.11246919515520654,0.11142140891369022
-5,0.06677545385446047,-0.05941013132014054,-0.17211626274026606,0.11200711775870492,0.1121116831507695,0.10917582880611611
-4,-0.0022550826290892107,-0.13785650702096477,-0.24317439506321714,0.11250821794066408,0.11037062618261886,0.1058557193295282
-3,-0.07182617365082784,-0.21518269251380176,-0.3109052020783277,0.11192835733212313,0.10729922907453074,0.10163346039784987
-2,-0.1411959431542531,-0.2893626884265168,-0.374460956420339,0.11026578173486665,0.10308834297791047,0.09673269415009436
-1,-0.20932849162577305,-0.35806013679969895,-0.4328614185715703,0.10757883296644455,0.0980843687145943,0.09142812973679738
0,-0.275251151105157,-0.4197038432702558,-0.48536940065252177,0.10398476455631175,0.09269021864994209,0.0860035805946154
1,-0.33803403927272124,-0.4733368341218761,-0.5315638037596655,0.09965274685794702,0.08730144785669894,0.08071829764826825
2,-0.3966764961460067,-0.5183739202737041,-0.571067050082544,0.0948052796599181,0.08227638195620558,0.0758176962237902
3,-0.449855633345077,-0.5539970822597509,-0.6031725118350875,0.08974037601988007,0.07797840599632258,0.07157617071552437
4,-0.49616490068783425,-0.5783150739670744,-0.6264592167975527,0.08481142017515637,0.07488041372338333,0.06835458600070639
5,-0.5347092157784078,-0.5918399202122648,-0.6407249983562313,0.08034095802073019,0.07309983089224212,0.06632072261302308
6,-0.5650186181407414,-0.595428967237504,-0.645494674306617,0.07659080452021978,0.0726204125009928,0.06563049794515788
7,-0.5872990367379565,-0.5908565376308873,-0.6407887133464439,0.07370224037521848,0.07323068346376486,0.06631153608651782
8,-0.6020687558018344,-0.5799046308606067,-0.6273343923604093,0.07172584029499354,0.07467327872727578,0.06823113128357473
9,-0.6101341047672726,-0.5643497267303159,-0.6064713692720306,0.07062585995834098,0.0766757964487963,0.07112721083392358
10,-0.6122424257960726,-0.5453542445978405,-0.5799829744792999,0.07033590656359102,0.07904740995880628,0.07466305507689043
11,-0.6089968340910865,-0.5234716775607455,-0.5497795868582391,0.0707818513557044,0.08167883922266841,0.07850215388118344
12,-0.601052236433439,-0.4993550281666515,-0.5173837709613354,0.07186343807174196,0.08445411076768417,0.0823917658820746
13,-0.589044442505503,-0.47382964046941356,-0.4837180439255452,0.07347123769943459,0.0872489321680295,0.08618362943192646
14,-0.5735273813310666,-0.44768428328916837,-0.4492326177792048,0.07550086230744317,0.08995964140232571,0.08980339736586365
15,-0.5547112469560838,-0.42060408794991305,-0.41374357882582263,0.0778893214972579,0.09260510769164881,0.09324911360689152
16,-0.5332671044620743,-0.39256648791123944,-0.3779656927509182,0.08051423739162182,0.09517023512909507,0.09643600205610628
17,-0.5101309836957812,-0.3638773752162951,-0.34307247728405427,0.08323022030575684,0.09761186750320094,0.09926664898455885
18,-0.48616523365764563,-0.33497667861773406,-0.31030205345745865,0.08591659112394194,0.0998842490498044,0.10167561522501255
19,-0.461965997333499,-0.3057812719104834,-0.2807739877488904,0.0884979986233504,0.10198897224646751,0.10363926851206258
20,-0.43772771826048207,-0.2756811822457964,-0.2550200077764464,0.09095148088700598,0.10395810919206089,0.10519175793592499
21,-0.4129181245002022,-0.24406475271738526,-0.23221461331736093,0.09332588639636898,0.10580691109196404,0.106441908102141
22,-0.3863189285414221,-0.21056161577351237,-0.21031262764652262,0.09571771785203066,0.10752057854417153,0.10753236864288532
23,-0.35642843032028454,-0.17521219555633258,-0.1866878656268682,0.09821553547014658,0.10905484747723121,0.10858759333025236
24,-0.3221618146763646,-0.13821035733828463,-0.15935397189175401,0.10083170136540572,0.11035963560984688,0.10965177693949144
25,-0.28320975017046074,-0.09975701978222858,-0.1275856730330704,0.10348471176738512,0.11138916303129004,0.11067736031068974
26,-0.23993749827551894,-0.060186218789488224,-0.09164478557967674,0.10603165870058881,0.11210124039666874,0.11156385501022134
27,-0.19325775252996555,-0.019867292188967857,-0.05256046568710571,0.10830674891760597,0.1124643818269424,0.11219797302183002
28,-0.14435038734346545,0.020852978419429565,-0.011727527711086646,0.11016444057144265,0.11245986601550141,0.11249331620670873
29,-0.09431337162702644,0.06154241081857993,0.029708080774594137,0.11150802304701113,0.11208266661335173,0.11240949320260746
30,-0.04387708298916435,0.1017826544880303,0.07126271676642452,0.1122921883486208,0.11134323179490725,0.11193742828811282
31,0.006772818819738833,0.14155704975535646,0.11310725823892456,0.11250362919348032,0.11025429414048837,0.11106943680377204
32,0.057850834369330945,0.18125972301946255,0.15572370991219878,0.11213225478294403,0.10881230398457066,0.10978046612822374
33,0.1096191586010508,0.22151996171842453,0.1993183205738953,0.11115684397529058,0.10698786074117708,0.10803906417852899
34,0.16193289452375173,0.2626288871806577,0.24339961288912557,0.10955855508449372,0.10474861641240266,0.10584339003799054
35,0.21412388652318956,0.3044177054288544,0.2867379906999792,0.10735037021257876,0.10208258483340679,0.10325846641038337
36,0.26517344196504244,0.3465006397935786,0.32771440150931036,0.10459751463865875,0.09900068172545659,0.10042571405779156
37,0.31401253325713313,0.3882067551691162,0.36505797829531766,0.10141498786315672,0.09555321085084569,0.09751504431478288
38,0.3598896223456292,0.4283634376411695,0.3986085509266296,0.09793659081445054,0.0918639632478742,0.09463240604745962
39,0.4028088000896192,0.4656572288000726,0.4295782035844073,0.09425368429591315,0.08811276042077934,0.09174670677956202
40,0.44368084737218755,0.4996464734242854,0.4598679692531344,0.09036113162763873,0.08442135335528546,0.08871559439775929
