time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1925,0.5784455785988203,0.861282075388353,0.8921895160810585,0.5071678782458288,0.8342169226370754,0.8497129300851455
1926,0.6790316838132116,1.4072012813306811,1.4373436907901311,0.607969762702586,1.38187836253396,1.395417752563054
1927,-0.5099567816146422,0.6621356592803593,0.6770419846010771,-0.5805582910659397,0.6385334445549532,0.6358110416821005
1928,-0.5916214555844816,0.866643907632223,0.888246840167763,-0.6615265995944799,0.8447408160212974,0.8478496328888513
1929,-4.437224013318122,-2.907275270350075,-2.923933953006749,-4.506205516739841,-2.9275008708769485,-2.9633642915209313
1930,1.2755626499637671,2.768942327057303,2.731846609465884,1.2077233836423182,2.7503725345104586,2.6935106656337955
1931,0.8223709820937435,2.1475345669457493,2.1962692905056453,0.7558838707495626,2.1305988482013176,2.1591496600657143
1932,-1.2263942945278106,-0.25808137554584,-0.20508811313323516,-1.291328011652715,-0.27340480573906956,-0.2408751186782444
1933,0.740194582729246,1.179169928442228,1.2458088241965442,0.6770068204306346,1.1654369504753956,1.2114651478419198
1934,-1.5078428395359311,-1.5721598179502827,-1.5983087226701533,-1.569100765036223,-1.5843242310891164,-1.631103972746229
1935,0.7225701175926094,0.15945795770629423,0.12585067576106757,0.6634172322276727,0.14884017092346716,0.09470334184440402
1936,4.479276929751472,3.4544213866008344,3.4476880435915764,4.422395609223934,3.445328236628427,3.418282508507888
1937,5.364030378817249,4.008653642081217,4.041244495088246,5.309578469194165,4.001063088300049,4.013669034303795
1938,0.16676404042932758,-1.3193292704003605,-1.3009576037781363,0.11489070914275941,-1.325439319683064,-1.3266203220043866
1939,2.5908598618704293,1.035233017836623,1.033776299924025,2.5417055977174496,1.0305813302860158,1.0101033853076382
1940,0.8350314474936991,-0.5015252430336867,-0.4502770217101688,0.7887280606363889,-0.5047407626921598,-0.47188867887233027
1941,-1.5318697294188848,-2.5714214562791313,-2.534676313886511,-1.5751991074534353,-2.573223052959027,-2.554160866957385
1942,-0.36762203926799986,-0.9792835565732867,-0.938142880117987,-0.40786295558769037,-0.979693526261755,-0.9554400896678107
1943,-1.0981566555138995,-1.1229256213318002,-1.0645225636402706,-1.135203335861622,-1.1219663110895857,-1.079577797446583
1944,-3.577416002129959,-3.0471956796600734,-2.939075379431223,-3.6111713508835956,-3.0448894876215147,-2.9518396124788624
1945,-0.8138275927156395,0.12929283873167918,0.19014854411248683,-0.8442031928880626,0.1329234633586505,0.17971872963138255
1946,-0.4918183964292213,0.7799855948330574,0.7688053312949639,-0.5187345096682952,0.7849181517669146,0.7607477459809553
1947,-1.5255460409803683,-0.06906807762664391,-0.05492186252766995,-1.5489316075689477,-0.0628561397410211,-0.06057501528132168
1948,-2.013408592554848,-0.4950734131049759,-0.5595236746968884,-2.0332012314107786,-0.4876046966963017,-0.5627457987042224
1949,-1.1271461076057188,0.3269895793770692,0.3534570524524776,-1.1432921162818357,0.3356924208064869,0.3526869461701226
1950,0.4657511090385533,1.6167649321718227,1.562649010423344,0.45329675435442196,1.6266791940460814,1.564346303637328
1951,2.8131446535210523,3.4715792551331313,3.3317820484337295,2.8044182980060883,3.482682181802735,3.3359565157081126
1952,5.16067039545109,5.416738238822961,5.430045630616107,5.155699705647486,5.42900702356482,5.43670143930765
1953,0.8572347795033057,0.5616705707818597,0.532157476980879,0.8560387433182606,0.5750823557992891,0.5412931872390417
1954,-0.9962780518224323,-1.6786157733208387,-1.669180889877723,-0.9936891251167089,-1.6640838968981166,-1.657572325110781
1955,3.024380437650006,1.9007084303039692,2.010176592885333,3.0307559578837173,1.9163374381881122,2.0242453578959143
1956,-2.7419462045538205,-4.175748602743741,-4.121896052663878,-2.731791138789894,-4.1590454744156435,-4.105385348882098
1957,0.3295542288124036,-1.2108988424170768,-1.1647653080173952,0.3434731134737823,-1.1931446557360847,-1.1458365341441579
1958,2.835008225011475,1.34219789368372,1.3594641514344579,2.852666523302553,1.360980025552953,1.3807815195121123
1959,3.1100099542285027,1.7665312730628138,1.70321531068159,3.131374582246534,1.7863181858820394,1.72688618986932
1960,3.120279475344155,2.164864478089288,2.089416642094865,3.1453086705514046,2.185632956546664,2.1154003420910295
1961,4.304702764668247,3.910507665696346,3.908743989640134,4.333346085891987,3.932234443406437,3.936994212935791
1962,1.1753047846780271,1.3082084062114405,1.3384000467899577,1.2075031121105435,1.330870165715217,1.3688648886688661
1963,-4.182024437549654,-3.6436901831104276,-3.7111335396048473,-4.14633890235107,-3.62011681034559,-3.6785115910662296
1964,-2.0906073550337645,-1.0699591461020388,-1.056551909358944,-2.051511089146814,-1.0454975796823578,-1.0218359732914593
1965,-0.8779106855204324,0.5300472184587104,0.5768698775984733,-0.8354888446578034,0.5553735078534232,0.6136110748566835
1966,1.5380247294089653,3.1035293873406884,3.1074736384718573,1.5836783108995915,3.129696877957027,3.14616576337535
1967,-1.276501703917333,0.3007808010757893,0.24852800164609334,-1.2277188947813806,0.3277659200867539,0.28909111344212607
1968,-0.1528086205827912,1.1847326083261236,1.1927402492574424,-0.10100777541917447,1.2125117318311207,1.2350887999859728
1969,1.498093647904518,2.4776765215216074,2.4747848371980155,1.5527926588431453,2.506225974546449,2.5188276716917
1970,-0.01499576847448747,0.5894903463295735,0.5878001590739803,0.04247285935150671,0.6187864028264782,0.633440514958176
1971,-1.915193697038649,-1.9076994977544328,-1.9354211900258735,-1.8550926798479221,-1.8776806149068406,-1.8882856823331098
