time,NearestPointAverage2,PressureDifference,NearestPointAverage2_trend,NearestPointAverage2_dt,NearestPointAverage2_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1899,2.343471622802728,-0.7397049152783682,2.6737208817979377,-0.3302492589952095,-0.4778055084281058,-0.738058647247892,-0.0016462680304761834,-0.15397203629877187
1900,2.351237897067223,-0.9302276693117332,2.680100680056106,-0.32886278298888305,-0.38485342135711986,-0.7229947675686941,-0.2072329017430391,-0.1193281342931202
1901,1.1842410306204592,-1.5348503503778463,2.686422698466411,-1.5021816678459516,-0.3036688704837552,-0.7082569368715537,-0.8265934135062927,-0.08938801306908606
1902,2.1815587358549924,-1.6253826707462917,2.6926866176830453,-0.5111278818280529,-0.24190944752934576,-0.693839411131915,-0.9315432596143767,-0.06836316518681554
1903,4.431443961691785,-0.029366866607091747,2.6988921183601966,1.732551843331588,-0.19714216905493565,-0.679736446325237,0.6503695797181452,-0.05265566615061694
1904,1.564179595823146,-0.8716940291407876,2.705038881152054,-1.1408592853289081,-0.15907827327520974,-0.6659422984269732,-0.20575173071381447,-0.04122025113612586
1905,2.8623907685805623,-0.10972273596035395,2.711126586712805,0.15126418186775714,-0.12453408949604516,-0.6524512234125817,0.5427284874522277,-0.028552153581658024
1906,3.0293340185807005,0.30808860261912147,2.7171549156966437,0.3121791028840568,-0.0832021580805227,-0.6392574772575076,0.9473460798766291,-0.005678610396367348
1907,2.8133517386443723,-1.055446994370578,2.7231235487577563,0.09022818988661596,-0.020282669673493507,-0.6263553159372091,-0.42909167843336893,0.02735963565008205
1908,2.187925515928491,-0.7491739124797135,2.729032166550333,-0.5411066506218423,0.0732871689343103,-0.6137389954271398,-0.1354349170525737,0.06811126679272007
1909,2.683005402274463,-1.024482285131697,2.734880449728561,-0.05187504745409788,0.18947142234067804,-0.6014027717027578,-0.42307951342893924,0.10746763548668622
1910,3.056446770611653,-0.41302451183286254,2.7406680789466336,0.3157786916650194,0.31580417753439605,-0.5893409007395085,0.17631638890664597,0.1379630987985952
1911,2.184797204397471,-0.10881392990719628,2.746394734858738,-0.5615975304612668,0.4326432987173997,-0.57754763851285,0.46873370860565367,0.15772339777138972
1912,4.108992533820805,-1.1818635489604714,2.7520600981190637,1.3569324357017414,0.5257907442525286,-0.5660172409982358,-0.6158463079622356,0.17237999875024393
1913,2.3503697212707317,0.1599586578950657,2.757663849381798,-0.40729412811106647,0.5924538943190472,-0.5547439641711236,0.7147026220661893,0.19395834977380566
1914,2.99055597999959,-0.04920822511058395,2.7632056693011346,0.22735031069845535,0.6306896648132464,-0.5437220640069597,0.4945138388963757,0.22861987086538818
1915,5.606769107821507,-0.9116706115780989,2.7686852385312606,2.8380838692902466,0.6565521819362461,-0.5329457964812014,-0.3787248150968975,0.2773167471930572
1916,5.928247236633015,0.5374124773682527,2.7741022377263658,3.1541449989066495,0.6733947641923217,-0.5224094175693028,1.0598218949375555,0.3285360076256695
1917,3.955418883542549,-0.2460382019924895,2.779456347540637,1.175962536001912,0.6802070553775534,-0.5121071832467208,0.2660689812542313,0.3737711129618741
1918,4.1726464153701315,-0.10109179943082201,2.7847472486282676,1.3878991667418639,0.6671185223337849,-0.5020333494889025,0.4009415500580805,0.40631923665832986
