time,NearestPointAverage,PressureDifference,NearestPointAverage_trend,NearestPointAverage_dt,NearestPointAverage_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1907,4.0999400336819845,-2.1535677633684567,3.365131397412955,0.7348086362690296,-0.1540812581540621,-1.278035395440452,-0.8755323679280047,0.05582547457880483
1908,2.547200058258635,-1.5286383832426294,3.3840017852962636,-0.8368017270376287,-0.08911419902613817,-1.252292652045733,-0.2763457311968964,0.13897640456540902
1909,2.765249535040871,-2.0903863814756605,3.4028887501079983,-0.6376392150671273,-0.004643803049574695,-1.2271214270801687,-0.8632649543954918,0.219280396480345
1910,2.4739303910983375,-0.8427484079337314,3.421791103706529,-0.9478607126081915,0.06123113168146966,-1.202510000252567,0.35976159231883564,0.2815043139937943
1911,3.677243440935301,-0.22202741862306574,3.440707657950206,0.23653578298509492,0.08499421353591019,-1.1784466512717602,0.9564192326486944,0.3218238592568837
1912,4.302180928630243,-2.411512139706616,3.4596372246973885,0.8425437039328543,0.07029368457019683,-1.1549196598465725,-1.2565924798600436,0.3517296560964428
1913,3.339775966840682,0.3263847554181824,3.4785786158064274,-0.13880264896574523,0.04195762134205817,-1.1319173056858354,1.4583020611040178,0.39575881284127523
1914,2.400469484904018,-0.10040603446308505,3.4975306431356925,-1.0970611582316745,0.01003307223966216,-1.1094278684983578,1.0090218340352728,0.4664832877323611
1915,5.099092053782167,-1.8602018390093116,3.516492118543536,1.582599935238631,-0.0032542582452321535,-1.0874396279929717,-0.7727622110163399,0.565845949803805
1916,8.273399777188267,1.0965535863621882,3.535461853888315,4.737937923299953,0.0037000051044595856,-1.065940863878501,2.1624944502406893,0.6703553649801397
1917,3.5116978351027552,-0.502024206989331,3.554438661028381,-0.04274082592562589,0.022549042101767957,-1.044919855863777,0.5428956488744459,0.7626545189349214
1918,2.4188468513985732,-0.20627093691707313,3.5734213518221045,-1.1545745004235313,0.0316187543410582,-1.0243648836576091,0.818093946740536,0.8290667502688345
1919,2.140879066546769,-0.5158486042575214,3.592408738127837,-1.451529671581068,0.020507142098183374,-1.0042642269688293,0.4884156227113079,0.8622470494982325
1920,1.840414217556505,-1.1302292475120315,3.611399631803936,-1.7709854142474308,-0.01055888482214327,-0.9846061655062615,-0.14562308200577,0.8651422833860639
1921,5.083442686641966,1.402311500561721,3.630392844708753,1.4530498419332134,-0.05909515613614206,-0.9653789789787358,2.3676904795404567,0.8351054614268548
1922,2.589307391106249,0.5154403280198406,3.6493871887006577,-1.0600797975944087,-0.12075686153887226,-0.9465709470950637,1.4620112751149044,0.775640594432261
1923,6.23241671036255,1.351055743300572,3.6683814756380024,2.5640352347245474,-0.18468805076973355,-0.928170349564076,2.279226092864648,0.7037969224876077
1924,1.7780646411109455,-2.0700661830813574,3.687374517379144,-1.9093098762681986,-0.23360861244542633,-0.9101654660945964,-1.159900716986761,0.6275944652987777
